name,types,type_count
articuno,"ice,flying",
zapdos,"electric,flying",
moltres,"fire,flying",
dragonite,"dragon,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
spearow,"normal,flying",
fearow,"normal,flying",
nidoqueen,"poison,ground",
nidoking,"poison,ground",
jigglypuff,"normal,fairy",
wigglytuff,"normal,fairy",
zubat,"poison,flying",
golbat,"poison,flying",
oddish,"grass,poison",
gloom,"grass,poison",
vileplume,"grass,poison",
paras,"bug,grass",
parasect,"bug,grass",
venonat,"bug,poison",
venomoth,"bug,poison",
poliwrath,"water,fighting",
bellsprout,"grass,poison",
weepinbell,"grass,poison",
victreebel,"grass,poison",
tentacool,"water,poison",
tentacruel,"water,poison",
geodude,"rock,ground",
graveler,"rock,ground",
golem,"rock,ground",
slowpoke,"water,psychic",
slowbro,"water,psychic",
magnemite,"electric,steel",
magneton,"electric,steel",
farfetchd,"normal,flying",
doduo,"normal,flying",
dodrio,"normal,flying",
dewgong,"water,ice",
cloyster,"water,ice",
gastly,"ghost,poison",
haunter,"ghost,poison",
gengar,"ghost,poison",
onix,"rock,ground",
exeggcute,"grass,psychic",
exeggutor,"grass,psychic",
rhyhorn,"ground,rock",
rhydon,"ground,rock",
starmie,"water,psychic",
mr-mime,"psychic,fairy",
scyther,"bug,flying",
jynx,"ice,psychic",
gyarados,"water,flying",
lapras,"water,ice",
omanyte,"rock,water",
omastar,"rock,water",
kabuto,"rock,water",
kabutops,"rock,water",
aerodactyl,"rock,flying",
articuno,"ice,flying",
zapdos,"electric,flying",
moltres,"fire,flying",
dragonite,"dragon,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
spearow,"normal,flying",
fearow,"normal,flying",
nidoqueen,"poison,ground",
nidoking,"poison,ground",
jigglypuff,"normal,fairy",
wigglytuff,"normal,fairy",
zubat,"poison,flying",
golbat,"poison,flying",
oddish,"grass,poison",
gloom,"grass,poison",
vileplume,"grass,poison",
paras,"bug,grass",
parasect,"bug,grass",
venonat,"bug,poison",
venomoth,"bug,poison",
poliwrath,"water,fighting",
bellsprout,"grass,poison",
weepinbell,"grass,poison",
victreebel,"grass,poison",
tentacool,"water,poison",
tentacruel,"water,poison",
geodude,"rock,ground",
graveler,"rock,ground",
golem,"rock,ground",
slowpoke,"water,psychic",
slowbro,"water,psychic",
magnemite,"electric,steel",
magneton,"electric,steel",
farfetchd,"normal,flying",
doduo,"normal,flying",
dodrio,"normal,flying",
dewgong,"water,ice",
cloyster,"water,ice",
gastly,"ghost,poison",
haunter,"ghost,poison",
gengar,"ghost,poison",
onix,"rock,ground",
exeggcute,"grass,psychic",
exeggutor,"grass,psychic",
rhyhorn,"ground,rock",
rhydon,"ground,rock",
starmie,"water,psychic",
mr-mime,"psychic,fairy",
scyther,"bug,flying",
jynx,"ice,psychic",
gyarados,"water,flying",
lapras,"water,ice",
omanyte,"rock,water",
omastar,"rock,water",
kabuto,"rock,water",
kabutops,"rock,water",
aerodactyl,"rock,flying",
articuno,"ice,flying",
zapdos,"electric,flying",
moltres,"fire,flying",
dragonite,"dragon,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
spearow,"normal,flying",
fearow,"normal,flying",
nidoqueen,"poison,ground",
nidoking,"poison,ground",
jigglypuff,"normal,fairy",
wigglytuff,"normal,fairy",
zubat,"poison,flying",
golbat,"poison,flying",
oddish,"grass,poison",
gloom,"grass,poison",
vileplume,"grass,poison",
paras,"bug,grass",
parasect,"bug,grass",
venonat,"bug,poison",
venomoth,"bug,poison",
poliwrath,"water,fighting",
bellsprout,"grass,poison",
weepinbell,"grass,poison",
victreebel,"grass,poison",
tentacool,"water,poison",
tentacruel,"water,poison",
geodude,"rock,ground",
graveler,"rock,ground",
golem,"rock,ground",
slowpoke,"water,psychic",
slowbro,"water,psychic",
magnemite,"electric,steel",
magneton,"electric,steel",
farfetchd,"normal,flying",
doduo,"normal,flying",
dodrio,"normal,flying",
dewgong,"water,ice",
cloyster,"water,ice",
gastly,"ghost,poison",
haunter,"ghost,poison",
gengar,"ghost,poison",
onix,"rock,ground",
exeggcute,"grass,psychic",
exeggutor,"grass,psychic",
rhyhorn,"ground,rock",
rhydon,"ground,rock",
starmie,"water,psychic",
mr-mime,"psychic,fairy",
scyther,"bug,flying",
jynx,"ice,psychic",
gyarados,"water,flying",
lapras,"water,ice",
omanyte,"rock,water",
omastar,"rock,water",
kabuto,"rock,water",
kabutops,"rock,water",
aerodactyl,"rock,flying",
articuno,"ice,flying",
zapdos,"electric,flying",
moltres,"fire,flying",
dragonite,"dragon,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
spearow,"normal,flying",
fearow,"normal,flying",
nidoqueen,"poison,ground",
nidoking,"poison,ground",
jigglypuff,"normal,fairy",
wigglytuff,"normal,fairy",
zubat,"poison,flying",
golbat,"poison,flying",
oddish,"grass,poison",
gloom,"grass,poison",
vileplume,"grass,poison",
paras,"bug,grass",
parasect,"bug,grass",
venonat,"bug,poison",
venomoth,"bug,poison",
poliwrath,"water,fighting",
bellsprout,"grass,poison",
weepinbell,"grass,poison",
victreebel,"grass,poison",
tentacool,"water,poison",
tentacruel,"water,poison",
geodude,"rock,ground",
graveler,"rock,ground",
golem,"rock,ground",
slowpoke,"water,psychic",
slowbro,"water,psychic",
magnemite,"electric,steel",
magneton,"electric,steel",
farfetchd,"normal,flying",
doduo,"normal,flying",
dodrio,"normal,flying",
dewgong,"water,ice",
cloyster,"water,ice",
gastly,"ghost,poison",
haunter,"ghost,poison",
gengar,"ghost,poison",
onix,"rock,ground",
exeggcute,"grass,psychic",
exeggutor,"grass,psychic",
rhyhorn,"ground,rock",
rhydon,"ground,rock",
starmie,"water,psychic",
mr-mime,"psychic,fairy",
scyther,"bug,flying",
jynx,"ice,psychic",
gyarados,"water,flying",
lapras,"water,ice",
omanyte,"rock,water",
omastar,"rock,water",
kabuto,"rock,water",
kabutops,"rock,water",
aerodactyl,"rock,flying",
articuno,"ice,flying",
zapdos,"electric,flying",
moltres,"fire,flying",
dragonite,"dragon,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
bulbasaur,"grass,poison",
ivysaur,"grass,poison",
venusaur,"grass,poison",
charizard,"fire,flying",
butterfree,"bug,flying",
weedle,"bug,poison",
kakuna,"bug,poison",
beedrill,"bug,poison",
pidgey,"normal,flying",
pidgeotto,"normal,flying",
pidgeot,"normal,flying",
,poison,288.0
